date,likes,talking_about_count,checkins,found
26-Mar-15,63143,2964,6622,yes
27-Mar-15,64521,3012,6620,no
28-Mar-15,66000,3200,6615,no
29-Mar-15,67332,3514,6612,no
30-Mar-15,67345,3514,6612,no
31-Mar-15,68530,7085,6612,no
01-Apr-15,68752,7895,6612,yes
02-Apr-15,68932,5689,6612,yes
03-Apr-15,68923,5689,6612,yes
04-Apr-15,68915,5689,6612,yes
05-Apr-15,69245,5689,6612,yes
06-Apr-15,69356,5689,6612,yes
07-Apr-15,69678,5689,6612,yes
08-Apr-15,69759,5689,6612,yes
09-Apr-15,69835,5689,6612,yes
10-Apr-15,69926,4587,6612,yes
11-Apr-15,71215,4587,6612,yes
12-Apr-15,72345,5486,6612,no
13-Apr-15,73548,4582,6612,no
14-Apr-15,74479,3568,6612,no
15-Apr-15,75559,2548,6612,no
16-Apr-15,76626,2658,6612,no
17-Apr-15,76723,2548,6612,no
18-Apr-15,77826,2548,6612,no
19-Apr-15,78925,2475,6612,no
20-Apr-15,79146,1669,6604,no
