date,likes,talking_about_count,checkins,found
31-Mar-15,463,24,0,yes
01-Apr-15,478,12,0,yes
02-Apr-15,525,23,0,yes
03-Apr-15,556,25,0,yes
04-Apr-15,645,24,0,yes
05-Apr-15,658,26,0,yes
06-Apr-15,789,27,0,yes
07-Apr-15,812,26,0,yes
08-Apr-15,823,24,0,yes
09-Apr-15,824,25,0,yes
10-Apr-15,825,26,0,no
11-Apr-15,826,24,0,no
12-Apr-15,899,25,0,no
13-Apr-15,956,26,0,no
14-Apr-15,978,25,0,no
15-Apr-15,989,26,0,no
16-Apr-15,997,25,0,no
17-Apr-15,1000,26,0,no
18-Apr-15,1166,25,0,no
19-Apr-15,1210,26,0,no
20-Apr-15,1242,32,0,no
