date,likes,talking_about_count,checkins,found
31-Mar-15,23261,7261,0,yes
01-Apr-15,24325,2156,0,yes
02-Apr-15,25689,2315,0,yes
03-Apr-15,25789,2356,0,yes
04-Apr-15,26354,2354,0,no
05-Apr-15,27896,3568,0,no
06-Apr-15,28125,2658,0,yes
07-Apr-15,29145,3568,0,no
08-Apr-15,30215,2356,0,yes
09-Apr-15,31256,2356,0,no
10-Apr-15,32254,2145,0,no
11-Apr-15,33456,2568,0,yes
12-Apr-15,36254,2568,0,yes
13-Apr-15,37244,3214,0,yes
14-Apr-15,37321,2315,0,no
15-Apr-15,37758,2145,0,no
16-Apr-15,38012,2145,0,yes
17-Apr-15,38523,2356,0,no
18-Apr-15,39125,2548,0,yes
19-Apr-15,39326,4523,0,no
20-Apr-15,39518,5596,0,yes
