date,likes,talking_about_count,checkins,found
26-Mar-15,1048,4,0,yes
27-Mar-15,1049,5,0,no
28-Mar-15,1050,7,0,no
29-Mar-15,1051,8,0,no
30-Mar-15,1052,9,0,no
31-Mar-15,1053,10,0,no
01-Apr-15,1054,10,0,yes
02-Apr-15,1055,11,0,no
03-Apr-15,1056,10,0,no
04-Apr-15,1057,9,0,no
05-Apr-15,1058,8,0,yes
06-Apr-15,1058,6,0,no
07-Apr-15,1059,5,0,no
08-Apr-15,1060,9,0,no
09-Apr-15,1061,6,0,no
10-Apr-15,1062,5,0,no
11-Apr-15,1063,7,0,yes
12-Apr-15,1063,8,0,no
13-Apr-15,1063,7,0,no
14-Apr-15,1063,9,0,no
15-Apr-15,1063,7,0,no
16-Apr-15,1063,8,0,yes
17-Apr-15,1063,4,0,no
18-Apr-15,1063,2,0,no
19-Apr-15,1063,3,0,yes
20-Apr-15,1063,3,0,no

