date,likes,talking_about_count,checkins,found
26-Mar-15,498344,3017,0,yes
27-Mar-15,498799,3422,0,no
28-Mar-15,499124,3812,0,no
29-Mar-15,499701,4216,0,yes
30-Mar-15,500547,4216,0,yes
31-Mar-15,500659,13629,0,no
01-Apr-15,500795,19084,0,yes
02-Apr-15,501422,33530,0,yes
03-Apr-15,502098,33140,0,yes
04-Apr-15,502480,33140,0,yes
05-Apr-15,502808,26122,0,yes
06-Apr-15,503452,23568,0,no
07-Apr-15,504154,23568,0,no
08-Apr-15,505126,23568,0,no
09-Apr-15,506125,23568,0,no
10-Apr-15,507125,23568,0,no
11-Apr-15,508356,23568,0,no
12-Apr-15,509356,23568,0,no
13-Apr-15,509999,23568,0,no
14-Apr-15,510256,23568,0,no
15-Apr-15,511288,23568,0,no
16-Apr-15,511299,23568,0,no
17-Apr-15,511299,24589,0,no
18-Apr-15,511299,23567,0,no
19-Apr-15,511355,23458,0,no
20-Apr-15,511388,22555,0,no
