date,likes,talking_about_count,checkins,found
26-Mar-15,914113,35530,0,yes
27-Mar-15,917324,33120,0,no
28-Mar-15,919548,34110,0,no
29-Mar-15,920680,34221,0,no
30-Mar-15,922305,34221,0,yes
31-Mar-15,923856,31809,0,yes
01-Apr-15,925919,25937,0,yes
02-Apr-15,927356,26596,0,yes
03-Apr-15,929246,35659,0,yes
04-Apr-15,934125,36548,0,yes
05-Apr-15,938569,32669,0,yes
06-Apr-15,946547,35654,0,no
07-Apr-15,948548,13154,0,no
08-Apr-15,952569,13255,0,no
09-Apr-15,954548,26598,0,no
10-Apr-15,958548,23569,0,no
11-Apr-15,959569,14586,0,no
12-Apr-15,960548,26589,0,no
13-Apr-15,961235,28756,0,no
14-Apr-15,963569,28755,0,no
15-Apr-15,968545,26548,0,no
16-Apr-15,970254,23568,0,no
17-Apr-15,972263,23568,0,no
18-Apr-15,973254,23568,0,no
19-Apr-15,973236,23569,0,no
20-Apr-15,974802,23382,0,no
