date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
29-Mar-15,1238,12,45,67,24,20,18,45,34,176,42,48,3
30-Mar-15,50,9,16,50,68,25,21,18,45,34,176,46,1
31-Mar-15,334,26,15,17,50,69,26,21,18,45,35,32,10
03-Apr-15,486,6,11,32,39,18,30,15,52,17,68,29,10
04-Apr-15,455,11,25,26,27,28,29,98,65,11,2,32,10
05-Apr-15,1125,56,85,12,3,45,78,23,36,65,11,53,1
06-Apr-15,2,52,57,75,50,94,45,76,590,181,5289,6510,0
07-Apr-15,40,10,4,6,89,2,58,74,12,32,35,322,8
08-Apr-15,76,11,25,14,23,28,19,16,17,13,2,168,2
09-Apr-15,1125,35,26,78,45,12,13,15,16,89,111,112,10
