date,likes,talking_about_count,checkins,found
01-Apr-15,16471,608,0,yes
02-Apr-15,16753,608,0,yes
03-Apr-15,17018,1066,0,yes
04-Apr-15,17230,1066,0,yes
05-Apr-15,17557,1908,0,yes
06-Apr-15,17632,1908,0,no
07-Apr-15,17780,1908,0,yes
08-Apr-15,17890,965,0,no
09-Apr-15,18123,1203,0,yes
10-Apr-15,18265,965,0,no
11-Apr-15,18589,985,0,yes
12-Apr-15,18671,956,0,no
13-Apr-15,18799,956,0,yes
14-Apr-15,18911,956,0,yes
15-Apr-15,19162,956,0,yes
16-Apr-15,19281,985,0,no
17-Apr-15,19290,985,0,no
18-Apr-15,19336,966,0,no
19-Apr-15,19458,923,0,no
20-Apr-15,19550,895,0,no
