date,likes,talking_about_count,checkins,found
26-Mar-15,45651,350,256,yes
27-Mar-15,45692,351,256,no
28-Mar-15,45743,351,256,no
29-Mar-15,45790,352,256,yes
30-Mar-15,45834,352,255,yes
31-Mar-15,45875,344,255,no
01-Apr-15,45925,377,255,yes
02-Apr-15,45982,369,255,yes
04-Apr-15,46071,383,255,yes
05-Apr-15,46099,356,255,yes
06-Apr-15,46123,356,255,no
07-Apr-15,46156,356,255,no
08-Apr-15,46189,356,255,no
09-Apr-15,46199,356,255,yes
10-Apr-15,46221,356,255,no
11-Apr-15,46256,356,255,no
12-Apr-15,46289,356,255,no
13-Apr-15,46311,356,255,yes
14-Apr-15,46390,356,255,no
15-Apr-15,46391,356,255,no
16-Apr-15,46409,356,255,no
17-Apr-15,46453,356,255,no
18-Apr-15,46487,356,255,yes
19-Apr-15,46525,289,255,yes
20-Apr-15,46547,277,255,no
