date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
01-Apr-15,590,2,4,3,3,4,591,25,944,337,40,196,3
02-Apr-15,645,2,4,4,5,7,4,661,24,945,338,199,3
03-Apr-15,2827,3,14,3,7,5,4,13,11,9,10,79,10
04-Apr-15,3874,24,11,5,6,42,58,74,1,2,3,124,7
05-Apr-15,1125,42,56,32,12,32,45,65,85,9,3,235,8
07-Apr-15,2944,111,25,36,95,46,35,85,4,5,65,52,332,5
09-Apr-15,13,46,48,84,44,74,589,178,5287,5325,6282,1796,0
11-Apr-15,2,52,57,75,50,94,45,76,590,181,5289,6510,0
13-Apr-15,40,10,4,6,89,2,58,74,12,32,35,322,8
14-Apr-15,76,11,25,14,23,28,19,16,17,13,2,168,2
15-Apr-15,1125,35,26,78,45,12,13,15,16,89,111,112,10
