date,given_post,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,average,ratio
26-Mar-15,340,1,5,0,0,0,2,1,2,1,7,4,10
29-Mar-15,396,1,2,2,1,5,0,0,0,2,2,7,10
30-Mar-15,416,0,1,2,2,1,5,0,0,0,2,8,10
01-Apr-15,454,0,1,0,1,2,2,0,5,4,3,6,10
02-Apr-15,89,1,0,1,0,1,2,2,1,5,10,5,10
04-Apr-15,145,5,3,1,2,0,0,0,2,5,6,5,10
05-Apr-15,590,2,0,0,0,0,1,2,3,6,4,5,10
09-Apr-15,645,2,0,1,2,0,1,0,0,0,0,2,10
13-Apr-15,2827,3,2,1,0,1,2,0,1,2,0,1,10
18-Apr-15,3874,2,1,0,2,0,1,0,20,1,0,2,10
19-Apr-15,1125,4,1,0,2,3,0,2,0,3,0,2,10
