date,likes,talking_about_count,checkins,found
29-Mar-15,6621,90,8,yes
30-Mar-15,6636,90,8,yes
31-Mar-15,6650,90,8,no
01-Apr-15,6657,90,8,yes
02-Apr-15,6663,90,8,yes
03-Apr-15,6675,90,8,no
04-Apr-15,6682,90,8,yes
05-Apr-15,6699,90,8,yes
06-Apr-15,6706,90,8,no
07-Apr-15,6723,90,8,no
08-Apr-15,6745,90,8,no
09-Apr-15,6785,90,8,yes
10-Apr-15,6796,90,8,no
11-Apr-15,6823,90,8,no
12-Apr-15,6856,90,8,no
13-Apr-15,6857,90,8,no
14-Apr-15,6889,90,8,no
15-Apr-15,6891,90,8,no
16-Apr-15,6915,90,8,no
17-Apr-15,6926,90,8,no
18-Apr-15,6948,90,8,no
19-Apr-15,6959,90,8,no
20-Apr-15,6967,124,9,yes
