date,likes,talking_about_count,checkins,found
26-Mar-15,52955,380365,0,yes
27-Mar-15,246789,321457,0,no
28-MAr-15,376458,334515,0,no
29-Mar-15,464408,340089,0,no
30-Mar-15,468461,340089,0,no
31-Mar-15,471466,485016,0,yes
01-Apr-15,474696,465411,0,yes
02-Apr-15,477568,456896,0,no
03-Apr-15,478523,456397,0,no
04-Apr-15,479654,456397,0,no
05-Apr-15,481235,456397,0,no
06-Apr-15,482356,456397,0,no
07-Apr-15,494568,456397,0,no
08-Apr-15,495689,456397,0,no
09-Apr-15,501235,456397,0,no
10-Apr-15,504568,456397,0,no
11-Apr-15,511235,456397,0,no
12-Apr-15,516547,456397,0,no
13-Apr-15,525689,456397,0,no
14-Apr-15,525989,456397,0,no
15-Apr-15,534586,456397,0,no
16-Apr-15,534589,456397,0,no
17-Apr-15,547852,456397,0,no
18-Apr-15,548651,456397,0,no
19-Apr-15,551256,456397,0,no
20-Apr-15,557880,157217,0,no
