date,likes,talking_about_count,checkins,found
29-Mar-15,61761,2958,0,yes
30-Mar-15,61944,2958,0,yes
31-Mar-15,62256,2896,0,no
01-Apr-15,62456,2389,0,no
02-Apr-15,62678,2389,0,no
03-Apr-15,62893,2389,0,yes
04-Apr-15,63123,2389,0,yes
05-Apr-15,63356,2389,0,yes
06-Apr-15,63456,2389,0,no
07-Apr-15,64100,2389,0,yes
08-Apr-15,64256,2389,0,no
09-Apr-15,64658,2389,0,yes
10-Apr-15,65235,2389,0,no
11-Apr-15,65356,2389,0,yes
12-Apr-15,65458,2389,0,no
13-Apr-15,66158,2389,0,yes
14-Apr-15,66568,2389,0,yes
15-Apr-15,66758,2389,0,yes
16-Apr-15,66956,2389,0,no
17-Apr-15,67135,2389,0,no
18-Apr-15,67356,2389,0,no
19-Apr-15,67489,2389,0,no
20-Apr-15,67595,4939,0,no
