date,likes,talking_about_count,checkins,found
03-Apr-15,299708,3172,0,yes
04-Apr-15,299999,3333,0,yes
05-Apr-15,300123,3333,0,yes
06-Apr-15,300456,3333,0,yes
07-Apr-15,300789,3333,0,yes
08-Apr-15,301321,3333,0,yes
09-Apr-15,301546,3333,0,yes
10-Apr-15,301789,3333,0,no
11-Apr-15,302321,3333,0,no
12-Apr-15,302654,3333,0,no
13-Apr-15,302954,3333,0,no
14-Apr-15,303321,3333,0,no
15-Apr-15,303654,3333,0,no
16-Apr-15,303987,3333,0,no
17-Apr-15,304654,3333,0,no
18-Apr-15,304777,3333,0,no
19-Apr-15,305111,3333,0,no
20-Apr-15,305910,3333,0,no
