date,likes,talking_about_count,checkins,found
02-Apr-15,139552,751,0,yes
03-Apr-15,139629,773,0,yes
04-Apr-15,139752,801,0,yes
05-Apr-15,139899,803,0,no
06-Apr-15,139967,803,0,no
07-Apr-15,140062,806,0,yes
08-Apr-15,140245,824,0,yes
09-Apr-15,140426,824,0,yes
10-Apr-15,140675,824,0,yes
11-Apr-15,140786,824,0,no
12-Apr-15,140853,824,0,no
13-Apr-15,140925,824,0,no
14-Apr-15,141025,824,0,no
15-Apr-15,141123,824,0,no
16-Apr-15,141265,824,0,no
17-Apr-15,141345,824,0,no
18-Apr-15,141412,824,0,no
19-Apr-15,141478,824,0,no
20-Apr-15,141559,843,0,no
