date,likes,talking_about_count,checkins,found
04-Apr-15,6425,0,0,yes
05-Apr-15,14476,13,0,yes
06-Apr-15,14523,50,0,yes
07-Apr-15,14635,90,0,yes
08-Apr-15,16455,115,0,yes
09-Apr-15,20789,1125,0,yes
10-Apr-15,23568,2015,0,yes
11-Apr-15,25687,3011,0,yes
12-Apr-15,30999,9012,0,yes
13-Apr-15,35146,11250,0,yes
14-Apr-15,40125,16023,0,yes
15-Apr-15,43125,17235,0,yes
16-Apr-15,47986,20356,0,yes
17-Apr-15,51236,23125,0,yes
18-Apr-15,56125,25680,0,yes
19-Apr-15,60123,27568,0,yes
20-Apr-15,66645,27677,0,yes
